time (s),getData(":pwr" ?result "tran") (W)
22.13E-9,953.0E-6
22.13E-9,954.2E-6
22.14E-9,958.1E-6
22.14E-9,967.8E-6
22.15E-9,980.2E-6
22.15E-9,997.8E-6
22.15E-9,1.030E-3
22.16E-9,1.061E-3
22.16E-9,1.098E-3
22.16E-9,1.127E-3
22.17E-9,1.161E-3
22.17E-9,1.188E-3
22.18E-9,1.205E-3
22.18E-9,1.220E-3
22.18E-9,1.239E-3
22.19E-9,1.276E-3
22.19E-9,1.332E-3
22.20E-9,1.411E-3
22.20E-9,1.498E-3
22.20E-9,1.575E-3
22.21E-9,1.678E-3
22.21E-9,1.760E-3
22.21E-9,1.821E-3
22.22E-9,1.856E-3
22.22E-9,1.886E-3
22.23E-9,1.935E-3
22.23E-9,1.996E-3
22.23E-9,2.098E-3
22.24E-9,2.247E-3
22.24E-9,2.420E-3
22.25E-9,2.580E-3
22.25E-9,2.709E-3
22.26E-9,2.840E-3
22.26E-9,2.979E-3
22.27E-9,3.075E-3
22.27E-9,3.159E-3
22.28E-9,3.229E-3
22.28E-9,3.292E-3
22.29E-9,3.316E-3
22.29E-9,3.290E-3
22.30E-9,3.208E-3
22.30E-9,3.090E-3
22.31E-9,2.935E-3
22.31E-9,2.800E-3
22.31E-9,2.671E-3
22.32E-9,2.559E-3
22.32E-9,2.402E-3
22.33E-9,2.257E-3
22.33E-9,2.099E-3
22.34E-9,2.005E-3
22.34E-9,1.903E-3
22.34E-9,1.837E-3
22.35E-9,1.778E-3
22.35E-9,1.738E-3
22.35E-9,1.714E-3
22.36E-9,1.700E-3
22.37E-9,1.682E-3
22.37E-9,1.646E-3
22.38E-9,1.595E-3
22.38E-9,1.535E-3
22.39E-9,1.492E-3
22.39E-9,1.446E-3
22.39E-9,1.411E-3
22.40E-9,1.355E-3
22.40E-9,1.313E-3
22.40E-9,1.264E-3
22.41E-9,1.226E-3
22.41E-9,1.184E-3
22.41E-9,1.140E-3
22.42E-9,1.111E-3
22.42E-9,1.089E-3
22.43E-9,1.090E-3
22.43E-9,1.108E-3
22.44E-9,1.126E-3
22.44E-9,1.129E-3
22.45E-9,1.124E-3
22.45E-9,1.120E-3
22.46E-9,1.128E-3
22.46E-9,1.148E-3
22.47E-9,1.182E-3
22.47E-9,1.220E-3
22.48E-9,1.254E-3
22.48E-9,1.284E-3
22.48E-9,1.308E-3
22.49E-9,1.326E-3
22.49E-9,1.348E-3
22.49E-9,1.369E-3
22.50E-9,1.405E-3
22.50E-9,1.448E-3
22.50E-9,1.512E-3
22.51E-9,1.571E-3
22.51E-9,1.623E-3
22.51E-9,1.672E-3
22.51E-9,1.725E-3
22.52E-9,1.772E-3
22.52E-9,1.818E-3
22.52E-9,1.870E-3
22.53E-9,1.922E-3
22.53E-9,1.973E-3
22.54E-9,2.046E-3
22.54E-9,2.147E-3
22.55E-9,2.303E-3
22.55E-9,2.424E-3
22.56E-9,2.514E-3
22.56E-9,2.554E-3
22.57E-9,2.573E-3
22.57E-9,2.576E-3
22.58E-9,2.561E-3
22.58E-9,2.539E-3
22.58E-9,2.503E-3
22.59E-9,2.479E-3
22.59E-9,2.487E-3
22.60E-9,2.514E-3
22.60E-9,2.519E-3
22.61E-9,2.514E-3
22.61E-9,2.502E-3
22.61E-9,2.486E-3
22.61E-9,2.461E-3
22.62E-9,2.433E-3
22.62E-9,2.393E-3
22.63E-9,2.344E-3
22.63E-9,2.301E-3
22.64E-9,2.246E-3
22.64E-9,2.139E-3
22.65E-9,2.018E-3
22.65E-9,1.873E-3
22.66E-9,1.678E-3
22.67E-9,1.512E-3
22.67E-9,1.344E-3
22.68E-9,1.166E-3
22.69E-9,993.5E-6
22.70E-9,846.5E-6
22.70E-9,750.1E-6
22.72E-9,643.5E-6
22.73E-9,598.0E-6
22.73E-9,571.6E-6
22.74E-9,549.3E-6
22.75E-9,533.4E-6
22.75E-9,526.4E-6
22.76E-9,520.4E-6
22.77E-9,513.4E-6
22.77E-9,506.2E-6
22.78E-9,500.7E-6
22.79E-9,504.7E-6
22.80E-9,512.4E-6
22.80E-9,517.4E-6
22.81E-9,518.0E-6
22.82E-9,515.5E-6
22.83E-9,514.7E-6
22.84E-9,521.5E-6
22.84E-9,533.4E-6
22.85E-9,550.7E-6
22.85E-9,575.3E-6
22.86E-9,592.4E-6
22.86E-9,602.9E-6
22.87E-9,609.1E-6
22.88E-9,651.0E-6
22.88E-9,749.4E-6
22.89E-9,843.4E-6
22.89E-9,882.6E-6
22.90E-9,892.1E-6
22.90E-9,876.2E-6
22.91E-9,825.4E-6
22.92E-9,781.2E-6
22.92E-9,728.6E-6
22.93E-9,671.9E-6
22.94E-9,595.9E-6
22.95E-9,525.4E-6
22.97E-9,468.1E-6
22.99E-9,442.2E-6
23.01E-9,433.8E-6
